"Date","ES","NQ","RTY","IXT","ADBE","AMED","CMCSA","CRM","CSCO","DECK","FR","GNRC","GOOGL","HAE","IBM","INTC","JNJ","JPM","NVDA","PEP","POR","PYPL","TDOC","V"
2018-03-19,2722.75,6914.25,1577.6,687.8,222.179993,62.740002,33.850269,124.980003,41.788151,92.010002,28.114616,46.630001,1100.069946,72.980003,145.065186,48.703629,124.113998,108.444328,239.543259,104.50222,37.966866,80.300003,41.549999,121.825851
2018-03-20,2723.5,6917.5,1576.7,687,229.75,61.459999,33.150249,125.120003,41.882545,92.199997,28.162029,46.860001,1095.800049,73.550003,144.004959,49.393513,125.038376,108.548485,248.071381,104.066643,37.853928,80.860001,41.799999,123.50676
2018-03-21,2718.25,6884,1584.1,683.1,226.850006,61.43,33.073536,121.699997,41.825905,91.699997,27.962902,46.790001,1094,73.75,144.456711,49.403095,125.019302,108.643166,247.057556,102.968216,37.788044,81.040001,43.099998,121.835732
2018-03-22,2643.25,6692,1543.9,665.1,220.520004,61.400002,31.865278,118.040001,40.655426,90.480003,27.479311,45.32,1053.150024,73.230003,140.215836,48.703629,121.388519,104.107681,240.388092,102.210678,37.646866,78.559998,42.700001,118.642029
2018-03-23,2597.75,6554.25,1518.4,647.6,215.020004,61.43,31.807749,114.43,40.041866,89.209999,26.948313,44.470001,1026.550049,72.550003,137.265701,47.295128,119.215767,101.323906,231.561813,100.515686,37.124783,76.440002,42.299999,115.685616
2018-03-26,2659.5,6773.5,1546,671.2,228.910004,61.560001,32.162548,118.970001,41.589924,90.980003,27.166401,45.639999,1054.089966,73.980003,141.39592,50.284607,121.398056,104.448555,243.002213,101.140663,37.817726,78.949997,43.599998,119.284721
2018-03-27,2615.75,6561.25,1518.7,650.2,213.800003,60.540001,31.635132,113.809998,40.287281,91.290001,27.507759,45.07,1006.940002,72.239998,140.049896,49.048565,121.226517,102.422256,224.156815,101.926613,38.045547,76.309998,41.150002,116.081116
2018-03-28,2607.5,6477.25,1517.4,645.5,212.539993,60.220001,31.913227,112.879997,39.324471,90.230003,27.944845,46.040001,1005.179993,72.839996,140.612289,47.525082,121.455223,102.261307,220.012039,103.384865,38.235394,75.059998,39.150002,115.675735
2018-03-29,2643,6594,1531.2,658.8,216.080002,60.34,32.766674,116.300003,40.485512,90.029999,27.925737,45.91,1037.140015,73.160004,141.451233,49.901344,122.122292,104.126625,230.190125,103.356461,38.453716,75.870003,40.299999,118.276192
2018-04-02,2575,6393.25,1491.7,641.6,212.279999,60.060001,32.143375,115.300003,38.710911,86.580002,27.543587,44.630001,1012.630005,72.160004,138.353561,46.873528,118.701164,102.11927,219.713837,101.367912,37.855694,75,38.5,117.05999
2018-04-03,2613.25,6469.25,1513.7,648.5,215.929993,63,32.278389,116.489998,39.060173,89.050003,28.040382,45.27,1018.679993,71.910004,138.150757,47.668812,122.312897,103.520638,223.987854,102.447411,38.235394,74.559998,40,117.860886
2018-04-04,2647,6582.5,1534.9,657.6,225.050003,64.129997,33.088482,119.480003,39.202896,91.699997,28.002165,45.700001,1029.709961,72.089996,142.087372,47.898766,124.276001,105.092422,224.872467,104.331779,38.102501,74.779999,40.75,118.464043
2018-04-05,2661.75,6600.25,1543.7,660.4,223.539993,65.529999,33.368156,119.040001,39.792843,93.669998,27.90663,46.209999,1032.640015,72.800003,142.004395,48.272461,124.561897,106.472336,220.04184,104.701073,38.377777,76.949997,41.400002,119.828552
